longitude,latitude,object,timestamp
-65.16666667,-54.6667,object4,09/01/20 03:56:20 AM
-65.25,-54.5833,object1,09/01/20 01:14:28 AM
-65.33333333,-54.5833,object2,09/01/20 08:08:18 AM
-65.41666667,-54.5833,object5,09/01/20 06:02:52 AM
-65.5,-54.5833,object1,09/01/20 12:23:58 AM
-65.58333333,-54.5833,object3,09/01/20 03:14:24 AM
-65.66666667,-54.5833,object2,09/01/20 05:19:33 AM
-65.75,-54.5833,object1,09/01/20 05:51:56 AM
-65.83333333,-54.5833,object1,09/01/20 12:54:28 PM
-65.91666667,-54.5,object4,09/01/20 01:18:35 PM
-66,-54.5,object4,09/01/20 10:11:14 AM
-66.08333333,-54.5,object5,09/01/20 11:10:37 AM
-66.16666667,-54.5,object2,09/01/20 05:39:45 AM
-66.25,-54.4167,object3,09/01/20 12:12:48 PM
-66.33333333,-54.4167,object4,09/01/20 09:10:08 AM
-66.41666667,-54.4167,object5,09/01/20 06:19:34 AM
-66.5,-54.3333,object4,09/01/20 12:41:20 AM
-66.58333333,-54.25,object5,09/01/20 03:06:36 AM
-66.66666667,-54.1667,object3,09/01/20 08:09:50 AM
-66.75,-54.1667,object1,09/01/20 07:16:44 AM
-66.83333333,-54.1667,object1,09/01/20 01:28:32 AM
-66.91666667,-54.0833,object4,09/01/20 02:24:17 AM
-67,-54.0833,object4,09/01/20 12:37:13 AM
-67.08333333,-54.0833,object2,09/01/20 12:51:14 PM
-67.16666667,-54,object3,09/01/20 02:58:14 AM
-67.25,-54,object3,09/01/20 09:07:48 AM
-67.33333333,-53.9167,object2,09/01/20 07:14:43 AM
-67.41666667,-53.9167,object3,09/01/20 12:29:44 PM
-67.5,-53.8333,object1,09/01/20 09:13:47 AM
-67.58333333,-53.75,object1,09/01/20 06:58:30 AM
-67.66666667,-53.6667,object3,09/01/20 10:43:54 AM
-67.75,-53.6667,object1,09/01/20 01:08:11 PM
-67.83333333,-53.5833,object5,09/01/20 05:24:29 AM
-67.91666667,-53.5,object1,09/01/20 08:37:27 AM
-68,-53.4167,object3,09/01/20 05:32:45 AM
-68.08333333,-53.3333,object3,09/01/20 01:19:17 AM
-68.16666667,-53.25,object4,09/01/20 03:32:28 AM
-68.25,-53.25,object5,09/01/20 07:50:14 AM
-68.33333333,-53.25,object4,09/01/20 07:11:46 AM
-68.41666667,-53.1667,object2,09/01/20 01:44:01 PM
-68.41666667,-53.0833,object4,09/01/20 06:07:35 AM
-68.41666667,-53,object3,09/01/20 01:39:07 AM
-68.41666667,-52.9167,object5,09/01/20 01:32:32 PM
